claim_id	manuscript_location	claim_text	citation_key	source_location	quote_or_evidence	evidence_kind	status	notes	claim_type	importance
claim-0001	line 38	Agent Laboratory connects literature review, experimentation, and reporting.	schmidgall-etal-2025-agent	page 1, abstract	three stages--literature review, experimentation, and report writing	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0002	line 39	PaperBench evaluates research replication that involves running experiments.	starace2025paperbench	page 1, abstract and introduction	Complete replication involves understanding the paper ... running, monitoring, and troubleshooting these experiments	source_text	needs_review	The bibliography now uses the archival PMLR record; the mapped full-text claim remains subject to independent human review.	related_work	normal
claim-0003	line 41	Unsound generated papers can receive favorable automatic reviews.	jiang-etal-2026-badscientist	page 1, abstract	scientifically unsound work ... fabricated papers achieve acceptance rates up to 82.0%	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0004	line 41	Research-logic flaws have no significant effect on tested automatic review outputs.	dycke-gurevych-2026-automatic	page 1, abstract	flaws in research logic have no significant effect on their output reviews	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0005	line 65	Agent Laboratory's workflow comprises literature review, experimentation, and report writing.	schmidgall-etal-2025-agent	page 3, Section 3	the workflow comprises three main phases: (1) Literature Review, (2) Experimentation, and (3) Report Writing	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0006	line 66	PaperBench is a benchmark evaluating agents' ability to replicate AI research.	starace2025paperbench	page 1, abstract	PaperBench, a benchmark evaluating the ability of AI agents to replicate state-of-the-art AI research	source_text	needs_review	The bibliography now uses the archival PMLR record; the mapped full-text claim remains subject to independent human review.	related_work	normal
claim-0007	line 68	BadScientist reports fabricated papers achieving high acceptance rates.	jiang-etal-2026-badscientist	page 1, abstract	fabricated papers achieve acceptance rates up to 82.0%	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0008	line 68	Counterfactual reviewer evaluation introduces targeted misalignments through surgical edits and compares reviews.	dycke-gurevych-2026-automatic	page 2, introduction	introduces targeted misalignments through surgical edits, and compares reviews	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0009	line 71	CLAIM-BENCH evaluates claim extraction, evidence extraction, and claim--evidence links.	javaji-etal-2025-ai	page 1, abstract	claim extraction, evidence extraction, and claim-evidence link validation	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0010	line 73	ARA assesses reproducibility from reconstructed workflow artifacts.	riehl2026ara	page 1, abstract	formalizes reproducibility assessment ... extracts a directed workflow graph	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0011	line 73	REPRO-Bench assesses reproducibility from papers and reproduction packages.	hu2025reprobench	page 1, abstract	agents are tasked with assessing the reproducibility ... original paper PDF ... reproduction package	source_text	needs_review	The bibliography now uses the archival ACL Anthology record; the mapped full-text claim remains subject to independent human review.	related_work	normal
claim-0012	line 74	SAGE routes a verified root cause to the correct intervention level.	ma2026reflection	page 1, abstract	routes the verified root cause to the correct intervention level	source_text	needs_review	Direct full-text candidate remains subject to independent human review.	related_work	normal
claim-0013	line 120	Qwen3.5-35B-A3B is the model identity cited for the fragment-model diagnostic.	qwen3.5	official model card, heading and citation block	Qwen3.5-35B-A3B	source_text	needs_review	The model card supports only the cited model identity; runtime execution remains bound by provider artifacts and independent human review remains required.	benchmark_or_result	important
